,id,created_on,property_type,lat,lon,local price,usd price,barrio,commune
12298,9fe52b0cf592b8f143f03c46ef522c2286d885a1,4/24/2015,store,-34.6009534,-58.3781698,1837.83,106.39,43,1
12302,a36f5bd71ece5056abebcd28d87af248d553ea0f,4/24/2015,store,-34.6009534,-58.3781698,1837.83,106.39,43,1
12310,c6a3427977a02f3e1ffa9413b6602e9cc29d932d,4/24/2015,store,-34.6009534,-58.3781698,1837.83,106.39,43,1
15396,f22cf2c5235e706a4a525906b6473fc21c780274,4/13/2015,apartment,-34.6044939,-58.3922784,1999.86,115.77,43,1
15746,d25362124312e87c4254414e56834cfd04c00302,4/13/2015,apartment,-34.6044939,-58.3922784,1999.86,115.77,43,1
19082,f22cf2c5235e706a4a525906b6473fc21c780274,4/13/2015,apartment,-34.6044939,-58.3922784,1983.42,115.77,43,1
19368,d25362124312e87c4254414e56834cfd04c00302,4/13/2015,apartment,-34.6044939,-58.3922784,1983.42,115.77,43,1
23622,f22cf2c5235e706a4a525906b6473fc21c780274,4/13/2015,apartment,-34.6044939,-58.3922784,1983.42,115.77,43,1
23898,d25362124312e87c4254414e56834cfd04c00302,4/13/2015,apartment,-34.6044939,-58.3922784,1983.42,115.77,43,1
3810,f22cf2c5235e706a4a525906b6473fc21c780274,4/13/2015,apartment,-34.6044939,-58.3922784,2004.01,116.01,43,1
4092,d25362124312e87c4254414e56834cfd04c00302,4/13/2015,apartment,-34.6044939,-58.3922784,2004.01,116.01,43,1
6233,f22cf2c5235e706a4a525906b6473fc21c780274,4/13/2015,apartment,-34.6044939,-58.3922784,2004.01,116.01,43,1
6521,d25362124312e87c4254414e56834cfd04c00302,4/13/2015,apartment,-34.6044939,-58.3922784,2004.01,116.01,43,1
8885,f22cf2c5235e706a4a525906b6473fc21c780274,4/13/2015,apartment,-34.6044939,-58.3922784,2004.01,116.01,43,1
9193,d25362124312e87c4254414e56834cfd04c00302,4/13/2015,apartment,-34.6044939,-58.3922784,2004.01,116.01,43,1
11857,f22cf2c5235e706a4a525906b6473fc21c780274,4/13/2015,apartment,-34.6044939,-58.3922784,2004.01,116.01,43,1
12247,d25362124312e87c4254414e56834cfd04c00302,4/13/2015,apartment,-34.6044939,-58.3922784,2004.01,116.01,43,1
4019,b441448da19f661169b44f0ed9cfde48aab91398,4/30/2015,store,-34.615887,-58.4957794,2327.04,134.71,33,10
6433,b441448da19f661169b44f0ed9cfde48aab91398,4/30/2015,store,-34.615887,-58.4957794,2327.04,134.71,33,10
9082,b441448da19f661169b44f0ed9cfde48aab91398,4/30/2015,store,-34.615887,-58.4957794,2327.04,134.71,33,10
