field_1,id_left,lat,lon,join_long,join_lat,join_object,join_id,join_name,join_comune,distance
"158050",2d2a6ec5f3eeaac0d5dc979a9a53f27929e92e10,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"158101",fffe4f79a992c8533ce77695b0d29676c5adae46,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"158103",6e335cea605aabd0d319cc1f60e1bcffc704f09b,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"158372",b51dd9d0a3da8971d6fea51368ec4737469163f3,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"159328",e08cc8d20031c37d240b11d6c8bc0d4e207332cc,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"160033",1bc00b201921efd8cb4f6c66ea3d5dfb59a16819,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"160354",3ce91a2c87a7f96ed3ada58f0cea19b0be0f65a5,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"161243",37448e4fd5878ccd13f3f64f200fdac7bf317428,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"162531",b3066e6be40cae8f78998dcd9a3cc7bbb9a7623e,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"162880",2707af351f874ea06544f2d737a399825e47b39e,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"162886",d6fb8f154314d7b609d3158da47e8f29afae486e,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"162888",ee3371cc51a39c3e3fa46fd5e275ba6e6021ce12,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"163406",936da82fac7b0ef4d6a479a319f7786bd6112022,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"164021",86bbef39b1d36756a322dbf33bd9326e4a2072c7,-34.573528,-58.432095,-58.4326404083668,-34.5732312422702,pharmacy,,,"14",0.000620914999641589
"165119",2ffe72bf50f24aae335a5dfa8fbc10d6990fc7b7,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"165132",e8682c2d326d32371168383f5560812478a7455c,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"165241",c6faffe132d629ea468d8b6c16c70e444c320449,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"165667",58318c4c3ac344a9939a1b355ee7804d7fcca68a,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"166715",ffbdc5546387ec144cff671d035367458d70a24d,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"166931",0465fc6e88010b1edd15f33c554385db44db466b,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"167226",95178d6f8577711bc3de50458c90f8554bdf77ca,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"167233",e15657021658c909df739a02f3b9de1a40a4ade1,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"167287",92d32f7f485e72760bdb7fa1154b25d38371c050,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"168200",0f6d0c4317cc0b1babbd195596147841ae8829fb,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"168201",0b6034b0a7f4bce15ae2820420f32974563d4df2,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"168204",4c5017464aeb0b564380a4c68af897c6fdf8f5be,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"168212",16d7486111c44ae5ba7217c69e0e11da2e24aaed,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"168214",a0fa99797395a0df74b785ad2806d1186c25a110,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"168739",0eff58e8c580368f8d3f27a56dce8285b727ebe9,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"169415",3688bfe169a635e7c7ff67bcc9ee387f9eae36d9,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"170319",b264848cbf7e02efb7db896631fc255531e68247,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"170323",d1eb2c401357d165269f27d2c52352c210788162,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"171297",8384e54616d541714565f44996e7c422652cda4c,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"172536",9fb035d93412634728b26f745accd0491561b11a,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"172538",e32fca7c841014368c7dc6e73ee7dbf72dd01120,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"173310",734434506687abe1253573fa02f9b39a72c4efb8,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"173747",79a0d9e02b9d4aa874560f5742f19a5f4cfdeb86,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"174243",6c5900f1193ca83f3ac1341bc462c2aaa8d0f5aa,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"174599",9f0a3d019f056ac3cb6e0aff399a06b099bc3638,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"174767",38a64c26c48bf0151db7f401534ae516e60a44f0,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"174768",e5aeb089c18f7c0bacba4e7a6fd0c09619945859,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"174777",20359549fc8e9be0b7a9f4ac123b1b2044927ba6,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"175038",1c1108517ed6d9f2f0dd87bbd850b0e0b159b093,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"175797",9e8e30f1a659d23624bc494ed11c6ea1cd04c09b,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"176845",456c1efe2407b91c30bcfb44b0d9a8e1a663e4c9,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"177301",1130f4a6b0fe4c33a23b0fb2bdc7c0803a4f6056,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"177802",aac9add5ec49a6602bd85d533730a47047d28785,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"177804",ccd056ac1dbf2faf261df7b874045f12cafa463b,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"177929",7c7b89fd21714deb0873a84e0e9be14337d8d1ab,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"178385",6738d2d8765134825eb65d86ecb3517f2cd622d7,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"179778",5bff25484478b78ed4d31800996de4631b64cecb,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"180396",8ebf1c3737a455ea3983707cecec281a0d32f7db,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"180404",e74bb6eebfe9f7b53983a898716eb1b701fc1f69,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"180892",172b3846cf624dd52dc48198c69f096a419422d5,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"181104",7f2d1b22fa7fcec740d95e89c9833a24d181d225,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"181134",99b4bba23deb2f012f366fbee1139c9ab02a5cf7,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"181337",9d97794022e6003d621b491c1bc67b36a481bb68,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"181685",201504b72ece0cb745303cd45acc7e1573a853dd,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"181796",5d8d09e1ab14aa2ae27939dc119db07f50e2c773,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"182358",bcc87bf37c235d048f685b602c48c0b85eb86afa,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"183137",531b6192fb3aa9042c8b2ebdbcce9e215ab35c5f,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"183138",cc9c7cca1227eabd91cd083d617a68be81f76aea,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"183484",fa4d0eba9060f6b072ddc6cca026006d6885fb06,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"183807",62783c8765635b0c956d61fb9701f6457a8b8d49,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"183823",4bec9134da255cd7418b4b75c0a19f482c26a6c6,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"184723",a18b4993186fe4bef429b88f13e9a730c85f7250,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"185271",83b4c6f1e8d613d9995869b23ea2d8641128f0d1,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"185441",34a3b26e4a9080d5bf15c31b6e4beb7ef17b52dc,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"185957",7a53ac49610b2cbd7d748924c505307cf5ec4f19,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"186238",74c5c21a7c5280f42d0769e60bf65665cfeb174c,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"186375",70638f3a9445a04937bd55fd99a734bc58fe57a1,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"186911",b24ad064e91053ad2bd3285118573fa511b13033,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"188417",e1a1a9cfce72c566cbcb1238518b09fb5fae5b5d,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"189153",be8f1efd7e74268e621a0e686ccf2e29c8ac23f0,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
