field_1,id_left,lat,lon,join_long,join_lat,join_id,join_object,join_name,distance
"146574",3b44853b2fe1ccb1df1b7e618b4a932272b844f1,-34.5771307,-58.4360489,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0713183873857823
"147898",62a3b14680022c832db45cc3a043c590045cc24e,-34.5770419,-58.4372443,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0709841880253395
"152738",b4d63c23a512f487658a50ff27aa36eb7e1078c1,-34.5752074238,-58.4352047512,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0734163323593473
"260666",d7d06403b29eeab90fc8a59983b1061b631040cb,-34.5765372,-58.4368204,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0716036839821659
"84436",2515e11cd624207ecddcbaeaad04d23abbeeff0e,-34.5776685,-58.4286402,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0738025332592214
"96158",6b27a260cc844dd9cb5bebe52e14ef2d8b02f8ec,-34.5777744,-58.4282634,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0738764241053131
"98801",522fdc6b288c4f5dc7623d3b1daac805c542cbda,-34.5784997,-58.4281628,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.073275056083584
"106390",e759822c05e802106708956c9470d9b0c66b02b4,-34.57766724,-58.42863846,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0738044360658851
"107622",f2044bf202b4add68920ba18e36013d0d817d320,-34.5772597629,-58.4290594164,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0739840443667776
"108227",09b523e78c56370a281929cfcef72289df5ee956,-34.5779433,-58.4291794,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.073317336346018
"117151",2227fc161c38a1302fe07affaa934ce306c4451a,-34.5792638,-58.4290095,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0722106015139902
"157345",534d2cfe54cb152a9870c59b778ead7c87b84676,-34.5776685,-58.4286402,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0738025332592214
"191517",4398de9baa0e641bb7f0a5a81d9be0f1962480fb,-34.5779656134,-58.4290274164,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0733644331134231
"232592",a5b3e10b6cab3a4fc7f22fa7fb9af7f85e1ea69b,-34.5775931967,-58.4285971663,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0738891204948056
"248824",0f4511fbcea7d2bfb7bc96c494bc460e34d220b1,-34.5779338,-58.4290592,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0733789105723734
