barrio,date,count,mean,count 10th percentile,count 90th percentile,min,max,std
1,2015-11-30,291,340288.0040206187,4.0,66.0,69000.0,1300000.0,230138.832916437
1,2015-12-31,106,383087.7358490566,0.0,32.0,94900.0,1600000.0,333860.57817250886
1,2016-01-31,105,230994.36761904764,2.0,8.0,18165.3,760000.0,166190.64602620568
1,2016-02-29,114,317224.98245614034,2.0,19.0,30000.0,1880000.0,299233.9961483359
1,2016-03-31,222,312288.26126126124,2.0,44.0,28000.0,1190000.0,234099.72213647526
1,2016-04-30,142,264180.81323943665,1.0,14.0,13954.11,1300000.0,200756.72498176107
1,2016-05-31,88,365126.1713636363,1.0,17.0,62000.0,2000000.0,407428.64938630624
1,2016-06-30,129,345783.0641085271,3.0,23.0,9045.09,2000000.0,326384.45135136705
1,2016-07-31,126,341301.9653968254,6.0,30.0,63000.0,2100000.0,331488.9734703128
1,2016-08-31,130,326368.8461538461,5.0,20.0,66000.0,3300000.0,465687.5058151139
1,2016-09-30,117,260585.12376068375,2.0,16.0,15000.0,1850000.0,266829.38954893034
1,2016-10-31,118,349291.73728813557,1.0,22.0,72000.0,2100000.0,365541.9409713958
1,2016-11-30,207,496410.99516908213,6.0,50.0,35000.0,5500000.0,776372.3978459018
1,2016-12-31,229,652832.6668995633,3.0,73.0,58000.0,5500000.0,865672.0394610836
1,2017-01-31,248,279555.3387096774,11.0,32.0,25000.0,1650000.0,249119.65490502387
1,2017-02-28,330,318578.6696969697,5.0,61.0,55000.0,1900000.0,334270.8538329687
1,2017-03-31,473,374938.41668076103,18.0,72.0,9702.26,2800000.0,483297.9032837871
1,2017-04-30,515,291244.7201553398,10.0,74.0,9702.26,1790000.0,275736.4731042158
1,2017-05-31,877,306306.035963512,11.0,125.0,6078.54,1950000.0,298006.274465387
1,2017-06-30,810,438089.4398641976,24.0,162.0,28900.0,5500000.0,794590.8473932125
1,2017-07-31,1513,358510.56265697296,23.0,304.0,28000.0,2900000.0,390096.56066689355
1,2017-08-31,90,470681.1111111111,19.0,26.0,39000.0,3100000.0,663484.453454849
1,2017-09-30,875,433239.54089142854,7.0,212.0,8000.0,3600000.0,507678.72646761715
1,2017-10-31,563,319301.7605683837,12.0,85.0,9073.38,3900000.0,348795.72633059166
1,2017-11-30,287,389524.39024390245,7.0,57.0,30000.0,2780000.0,408941.9332712793
1,2017-12-31,155,405116.5677419355,4.0,39.0,29500.0,5500000.0,579263.873283063
1,2018-01-31,99,396462.62535353535,4.0,19.0,10697.91,3200000.0,582278.8045394983
2,2014-07-31,7,164363.2857142857,0.0,0.0,77000.0,268000.0,87953.1039943338
2,2014-08-31,11,265792.54545454547,0.0,1.0,85500.0,1490000.0,407838.0333751043
2,2014-09-30,25,387560.0,1.0,5.0,60000.0,1500000.0,505446.44704788795
