long,lat,id,object,name,comune
-58.4497663377443,-34.5453056273984,1,stadium,Monumental Antonio Vespucio Liberti,13
-58.5206633023988,-34.6353302822112,2,stadium,José Amalfitani,9
-58.3647578638825,-34.6357361054272,3,stadium,Alberto J. Armando,4
-58.3965659311413,-34.6434616828113,4,stadium,Tomás Adolfo Ducó,4
-58.4402206537969,-34.652037774849,5,stadium,Pedro Bidegain,7
-58.4645255572806,-34.6578677846918,6,stadium,Estadio Nueva España,9
-58.4997533034693,-34.6680548186919,7,stadium,República de Mataderos,9
-58.4730282035083,-34.6062764076556,8,stadium,Diego Armando Maradona,11
-58.4476874806095,-34.6185840408399,9,stadium,Arquitecto Ricardo Etcheverri,6
-58.4978449274547,-34.6165260649432,10,stadium,Estadio Islas Malvinas,10
-58.4492738375116,-34.5949090421977,11,stadium,Don León Kolbowsky,15
-58.461926529389,-34.5411774563433,12,stadium,Juan Pasquale,13
-58.4431557962165,-34.5588388531396,13,stadium,Coliseo del Bajo Belgrano,13
-58.3968611907066,-34.6475043768536,15,stadium,"Claudio Chiqui"" Tapia """,4
-58.4884576852379,-34.5941414592145,16,stadium,Alfredo Ramos,15
-58.5156918286413,-34.6132869330386,17,stadium,Estadio Enrique Sexto,11
-58.4302816630777,-34.5622382531287,18,stadium,Billoch Caride,14
-58.4265618654418,-34.5715537662885,19,stadium,"""La Catedral del Polo""",14
-58.4194699085156,-34.5680397371448,20,stadium,GEBA (sede Jorge Newbery),14
-58.3658495825069,-34.6320312231714,21,stadium,Microestadio Luis Conde,4
-58.3684286442721,-34.602620813573,22,stadium,Luna Park,1
-58.446196583368,-34.6771768435592,23,stadium,Estadio Mary Terán de Weiss,8
-58.4581218521634,-34.545537538516,24,stadium,Club Atlético Obras Sanitarias de la Nación,13
-58.443404135619,-34.6533406140494,25,stadium,Guillermo Laza,8
-58.471469748784,-34.5919053134849,26,stadium,Microestadio Malvinas Argentinas,15
-58.4486371840027,-34.5464263236206,27,stadium,Microestadio River Plate,13
-58.4488352829472,-34.6185215731039,28,stadium,Hector Etchart,6
-58.456713141317,-34.5463295667752,29,stadium,Cenard,13
-58.4679400686761,-34.698094232851,30,stadium,Autodromo Oscar y Juan Galvez,8
-58.4518961450275,-34.6645727780083,14,stadium,“Beto” Larrosa,8
-58.4414540262024,-34.5719318849302,,sports federation,Asociación Metropolitana de Squash,13
