long,lat,nombre_centro,calle,altura,piso_dpto,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.393916,-34.651501,JUVENTUD UNIDA,AV IRIARTE ,3276,,Barracas,4,1291,C1291ACV
-58.373551,-34.644939,PARA LA TERCERA EDAD SANTA LUCIA,AV MONTES DE OCA ,1517,,BARRACAS,4,1270,C1270ABC
-58.368729,-34.644153,DE LOS PATRICIOS,AV. DE LOS PATRICIOS ,1537,,Barracas,4,1266,C1266AAB
-58.384408,-34.646256,LA NUEVA ESPERANZA DE BARRACAS,Australia,2642,,Barracas,4,1296,C1296ABH
-58.361408,-34.629978,RIBERA SUR,BLANES ,295,,LA BOCA,4,1155,C1155ACE
-58.382655,-34.649047,ENRIQUE PAVON PEREYRA,CALIFORNIA ,2587,,Barracas,4,1289,C1289ABE
-58.415176,-34.656064,DEL SUR,AV ALCORTA ,4007,,,0,,
-58.424720,-34.642248,P. PATRICIOS- NUEVA POMPEYA- ASOCIACION CIVIL,CHILAVERT  MARTINIANO CNEL ,1175,,Nueva Pompeya,4,1437,C1437HBC
-58.401079,-34.638726,POMPEYA-PARQUE DE LOS PATRICIOS,USPALLATA ,2775,,Parque Patricios,4,1437,C1437JCC
-58.431553,-34.645695,ABUELOS DEL RIESTRA,DEL BA,2359,,Nueva Pompeya,4,,
-58.428789,-34.647451,NUEVA ARGENTINA,DEL BARCO CENTENERA ,2574,,Nueva Pompeya,4,1437,C1437AAS
,,DIGNIDAD,ENRIQUE DEL VALLE IBERLUCEA ,1149,,,0,,
-58.364404,-34.637093,BENITO QUINQUELA MARTIN,FILIBERTO J  DE DIOS ,962,,La Boca,4,1162,C1162AAB
-58.398749,-34.651079,ROBUSTIANA SAN MARTIN,IRIARTE ,3700,,Barracas,4,1437,C1437JQP
-58.373055,-34.639853,DE LA INDUSTRIA DEL GAS POR NUESTROS DERECHOS,ISABEL LA CATOLICA ,832,,Barracas,4,1268,C1268ACR
-58.433762,-34.646105,6 DE ENERO,JANER ANA MARIA ,1836,,Nueva Pompeya,4,1437,C1437HGB
-58.406318,-34.631556,ESPERANZA VIVA,LA RIOJA ,1777,,PARQUE PATRICIOS,4,1244,C1244ABK
-58.386912,-34.630190,PLAZA CONSTITUCION,LUIS SAENZ PE,1805,,Constitución,1,1135,C1135ABM
-58.429059,-34.654739,ETERNA PRIMAVERA,MATANZA ,3030,,,0,1437,C1437AXD
-58.397501,-34.631470,ALMAFUERTE,MATHEU ,1863,,Parque Patricios,4,1249,C1249AAM
-58.364338,-34.628143,CATALINAS SUR,NECOCHEA ,312,,La Boca,4,1158,C1158ACB
-58.367924,-34.638922,PADRE FEDERICO GROTE,OLAVARRIA ,1101,,La Boca,4,1162,C1162ACE
-58.362621,-34.635026,CENTRO CULTURAL ACTUARTE,PALOS ,424,,La Boca,4,1160,C1160ACF
-58.395782,-34.625061,PRIMAVERA,PASCO ,1358,,San Cristobal,3,1251,C1251AAD
-58.362059,-34.634602,ADULTOS MAYORES AVE FENIX,PINZON ,546,,La Boca,4,1161,C1161ACL
,,LA NUEVA ESPERANZA DE LA BOCA,PUERTO DE PALOS ,761,,LA BOCA,4,,
-58.380182,-34.645275,LOS PEQUENOS GRANDES,QUINQUELA MARTIN BENITO ,2256,,BARRACAS,4,1296,C1296ADT
