long,lat,nombre_centro,calle,altura,piso_dpto,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.455304,-34.561952,GRUPO DE TERCERA EDAD ARDILLAS,VUELTA DE OBLIGADO ,2042,,Belgrano,13,1428,C1428ADF
-58.422587,-34.592417,PARTICIPANDO,GASCON ,1549,,PALERMO,14,1181,C1181ADC
-58.422855,-34.594510,ARMONIA DE LA PARROQUIA SANTA LUCIA DE PALERMO,GASCON ,1375,,Palermo,14,1181,C1181ACY
-58.424693,-34.584387,PARTICIPAR,PARAGUAY ,4534,,Palermo,14,1425,C1425BSP
-58.443213,-34.585072,AMANECER DE PRIMAVERA,RAVIGNANI EMILIO DR. ,1330,,Palermo,14,1414,C1414CPH
-58.439986,-34.597596,VILLA CRESPO CENTRAL,ACEVEDO ,460,,VILLA CRESPO,15,1414,C1414DJJ
-58.479094,-34.587898,AMISTAD Y UNION,ANDONAEGUI ,1246,,Parque Chas,15,1427,C1427BEH
-58.459885,-34.603450,AMIGOS POR EL TEJO,FRAGATA SARMIENTO ,1942,,Paternal,15,1416,C1416CBR
-58.476851,-34.584908,AMIGOS DEL VILLA MODELO,ARISMENDI ,2686,,Parque Chas,15,1427,C1427DLF
-58.478116,-34.585790,DE TERCERA EDAD LA ESPERANZA DE PARQUE CHAS,ARISMENDI ,2801,,PARQUE CHAS,15,1427,C1427DLI
-58.465326,-34.614535,AMIGOS DE VILLA MITRE,AVENIDA BOYACA ,1293,,Villa General Mitre,11,1416,C1416AAC
-58.469623,-34.582130,A EMPEZAR,AV. CHORROARIN ,1260,,VILLA URQUIZA,15,1427,C1427CXW
-58.452683,-34.586465,JOVENES DEL TERCER MILENIO-ASOCIACION CIVIL,AV. FOREST ,455,,Chacarita,15,1427,C1427CEB
-58.479161,-34.582158,EL LABERINTO DE PARQUE CHAS,AV. GRAL. BENJAMIN VICTORICA ,2642,,Parque Chas,15,1431,C1431DSH
-58.445475,-34.589853,DR RENE G FAVALORO (EX BONPLAND),BONPLAND ,860,,,0,1414,C1414CMD
-58.442962,-34.597825,22 DE AGOSTO,CAMARGO ,825,,Villa Crespo,15,1414,C1414AHQ
-58.469627,-34.582402,ABUELOS DE VILLA ORTUZAR,CHORROARIN AV ,1236,,Villa Ortúzar,15,1427,C1427CXW
-58.471938,-34.580436,JUSTICIA SOCIAL,CHARLONE ,2185,,LA PATERNAL,15,1427,C1427BYQ
-58.469075,-34.593296,LA ISLA DE LA PATERNAL,DONATO ALVAREZ ,2696,,Paternal,15,1427,C1427AQO
-58.468379,-34.587906,EL FORTIN DE VILLA ORTUZAR,ESTOMBA ,294,,Villa Ortúzar,15,1427,C1427COF
-58.452148,-34.586156,CHACARITA COLEGIALES,GUEVARA ,525,,Chacarita,15,1427,C1427BRK
-58.476443,-34.586620,UNIDOS PARA SIEMPRE,LLERENA ,2727,,Parque Chas,15,1427,C1427DEG
-58.467065,-34.601571,DE VIDA EN AMOR,MANUEL RICARDO TRELLES ,2349,,Paternal,15,1416,C1416BRY
-58.458412,-34.595958,"TIERRA, TECHO Y TRABAJO",NEWBERY JORGE ,4866,,Chacarita,15,1427,C1427EHO
-58.460566,-34.600636,CARLOS MORA,NICASIO ORO,2242,,Paternal,15,1416,C1416BZX
-58.469067,-34.594546,LOS ABUELOS DEL CIRCULO DE LA PATERNAL,PAZ SOLDAN ,5035,,Paternal,15,1427,C1427DSG
-58.369571,-34.631600,AMISTAD Y ESPERANZA,TOMAS LIBERTI ,1135,,La Boca,4,1165,C1165AEC
-58.365605,-34.643172,DONA BETTY DE LA BOCA,IRALA ,1562,,La Boca,4,1164,C1164ACJ
-58.469461,-34.676591,GRANDES ESPERANZAS,LARRAYA ,4194,,VILLA LUGANO,8,1439,C1439EKH
-58.483746,-34.619634,Sueño Cumplido,Concordia ,1305,,Villa Santa Rita,11,1407,C1407DJA
-58.468750,-34.633460,Floparch,J. B. Alberdi ,2908,,Flores,7,1406,C1406GSS
-58.509699,-34.577407,DR. RAUL MATERA,Av. Albarellos ,2879,,Villa Pueyrredón,12,1419,C1419FSF
-58.516677,-34.600287,VENGO A PROPONERLES UN SUEÑO,SANABRIA ,4277,,Villa Devoto,11,1419,C1419BNI
-58.491214,-34.589682,TODOS UNIDOS,Pedro Moran ,2456,,Agronomía,15,1419,C1419HJH
-58.480797,-34.609597,NELLY OMAR,juan agustin garcía ,2791,,,0,1416,C1416ELI
-58.494416,-34.605683,CARLOS GARDEL 1º,Baigorria ,3373,,Villa del Parque,11,1417,C1417FRM
-58.423132,-34.614560,JOVENES CORAZONES,QUINTINO BOCAYUVA ,193,,Almagro,5,1181,C1181AAC
-58.473381,-34.611388,VIDA,CESAR DIAZ ,2451,,Villa General Mitre,11,1416,C1416DVU
-58.522955,-34.641509,EL CAMINO REAL DE LINIERS ,IBARROLA ,6864,,Liniers,9,1408,C1408DXL
-58.379080,-34.649324,21 DE DICIEMBRE,AV. GRAL IRIARTE ,2295,,Barracas,4,1291,C1291ACA
-58.457016,-34.567769,MARIO GAGLIANO,JOSE HERNANDEZ ,2786,PB,,0,1426,C1426EOX
-58.491620,-34.619131,LA VIDA ES BELLA,BAHIA BLANCA ,1609,,Floresta,10,1407,C1407ACE
-58.479430,-34.582459,JUAN MANUEL DE ROSAS ,AVALOS ,1554,,Parque Chas,15,1431,C1431DPD
-58.488156,-34.670733,GENERAL PUEYRREDON ,ZUVIRIA ,5921,,Villa Lugano,8,1439,C1439BEG
-58.503560,-34.575980,AMIGOS DE LA PLAZA ALEM ,larsen ,2450,,Villa Pueyrredón,12,1419,C1419FPD
-58.491120,-34.606392,ALEGRES MOMENTOS ,CUENCA ,2545,,Villa del Parque,11,1417,C1417AAG
-58.489790,-34.597174,SAGRADO CORAZON,AV SAN MARTIN ,5125,,Agronomía,15,1417,C1417DSL
-58.517565,-34.652882,CUQUI ROBLES,EMILIO CASTRO ,7035,,Liniers,9,1408,C1408IGH
-58.474976,-34.678041,MILAGRO AL SUR,SAYOS ,5733,,Villa Lugano,8,1439,C1439CAU
-58.385995,-34.614767,ESPACIO PORTEÑO,SAN JOSE ,543,,Monserrat,1,1076,C1076AAK
-58.404013,-34.656472,BARRIO ESPORA,Av. Osvaldo Cruz ,3890,,Nueva Pompeya,4,1437,C1437IGN
-58.389915,-34.622069,DR. RAMON CARRILLO,Solis ,1154,,Constitución,1,1078,C1078AAX
-58.459523,-34.641364,DR. FAVALORO FLORES SUR,PILLADO ,1076,,Flores,7,1406,C1406EVH
-58.483682,-34.631760,LA TACITA,BACACAY ,3975,,Floresta,10,1407,C1407EDM
-58.489921,-34.572153,CABOPE,Baunes ,2751,,Villa Urquiza,12,1431,C1431DOG
-58.516844,-34.633073,CENTRO DE JUBILADOS BARRIO KENNEDY,Juan B.Justo ,9100,,Liniers,9,1408,C1408AKT
-58.468258,-34.642247,ALEGRIA Y FELICIDAD,portela ,891,,Parque Avellaneda,9,1406,C1406FDQ
-58.400284,-34.599662,CENTRO DE JUBILADOS Y PENSIONADOS SORDOMUDOS DE LA REPUBLICA ARGENTINA ,AV CORDOBA ,2330,,Balvanera,3,1120,C1120AAS
