barrio,date,count,mean,count 10th percentile,count 90th percentile,min,max,std
1,2015-12-31,14,2781.1399999999994,0.0,2.0,1194.58,6160.75,1598.3638971147966
1,2016-01-31,44,1117.2238636363634,4.0,0.0,195.77,2000.0,666.1116722816389
1,2016-02-29,18,2129.7944444444443,0.0,0.0,1138.51,4000.0,1361.9311281162588
1,2016-03-31,63,4134.064126984127,2.0,7.0,331.82,40000.0,9580.35994822146
1,2016-04-30,48,1794.4293750000004,4.0,0.0,164.41,3023.52,1090.0568966985284
1,2016-05-31,59,2014.4074576271191,5.0,6.0,251.0,5500.0,1581.7170697177573
1,2016-06-30,48,2187.7885416666672,4.0,2.0,358.9,7500.0,1579.193123061065
1,2016-07-31,56,1537.9571428571428,3.0,0.0,345.39,4000.0,1288.2296981343525
1,2016-08-31,79,4042.7011392405066,4.0,43.0,305.06,9038.43,2166.506873044414
1,2016-09-30,50,3306.4383999999995,0.0,15.0,408.97,9000.0,2850.5162712631836
1,2016-10-31,94,1687.2274468085116,7.0,7.0,238.26,5000.0,1639.2373529154986
1,2016-11-30,150,4254.860066666666,0.0,60.0,445.25,10000.0,3090.6164711987412
1,2016-12-31,174,5523.515057471262,2.0,102.0,316.54,11338.22,2782.449827040028
1,2017-01-31,63,1483.0179365079362,0.0,6.0,401.63,6000.0,1485.347506384648
1,2017-02-28,93,3935.2760215053754,6.0,33.0,224.33,11000.0,3121.9054690915586
1,2017-03-31,200,2199.1945500000015,6.0,28.0,336.5,25000.0,3350.9710717948356
1,2017-04-30,234,1986.8155555555556,23.0,18.0,140.2,9500.0,2210.7251657801417
1,2017-05-31,280,1768.198749999999,11.0,16.0,280.41,18000.0,2497.7677934000308
1,2017-06-30,153,1808.6980392156881,8.0,19.0,244.23,10500.0,2451.1812764045276
1,2017-07-31,341,2998.787008797654,26.0,71.0,182.65,40000.0,5017.256462323732
1,2017-08-31,211,2109.778815165877,25.0,26.0,76.41,9283.43,2323.9088524325352
1,2017-09-30,311,2046.7430546623789,9.0,28.0,143.88,25000.0,2409.2155214162344
1,2017-10-31,388,1908.7877577319607,19.0,50.0,96.88,8703.22,2052.4900183092973
1,2017-11-30,299,2148.9674916387944,15.0,38.0,163.01,25000.0,3420.3768739305406
1,2017-12-31,231,2110.457792207794,6.0,25.0,307.9,25000.0,2980.1785153870683
1,2018-01-31,155,1698.941677419354,9.0,14.0,158.05,10000.0,2000.0613323566047
