id,Commune,Computer Percent,Computer Quantile,Cellular Percent,Cellular Quantile,Rent Percent,Rent Quantile,Immigration Percent,Immigration Quantile,Education Percent,Education Quantile,Owner Percent,Owner Quantile,Regular Percent,Regular Quantile,Uninhabited Percent,Uninhabited Quantile,b_id
31894,15,67.5,3,85.4,2,36.4,7,8.8,3,30.1,3,49.0,2,85.4,3,0.2,0,26.0
31915,15,67.5,3,88.0,5,40.1,8,20.5,8,25.6,2,47.8,2,88.0,4,0.7000000000000001,0,26.0
31923,15,80.6,8,91.2,8,41.5,8,9.0,3,42.6,6,49.7,2,91.2,7,1.8,2,26.0
31930,15,57.2,1,81.5,0,25.5,3,12.2,6,16.1,1,62.6,6,88.1,5,1.2,1,26.0
31963,15,74.6,6,88.6,6,29.8,5,8.7,3,44.1,6,42.1,1,71.9,0,4.7,6,26.0
31996,15,69.8,4,85.9,3,26.2,3,10.8,5,19.3,1,66.9,7,93.1,9,0.7000000000000001,0,26.0
32043,15,71.6,5,88.2,6,20.8,2,12.6,6,39.0,5,69.5,8,90.3,6,5.0,7,26.0
32070,15,69.8,4,88.0,5,37.0,7,11.0,5,33.4,4,46.8,2,83.8,2,3.8,5,26.0
32084,15,57.1,1,84.9,2,40.9,8,19.8,8,14.4,1,38.9,0,79.8,1,1.4,1,26.0
32086,15,64.7,2,85.6,3,35.6,7,10.2,4,18.3,1,57.9,4,93.5,9,1.5,1,26.0
32109,15,75.2,6,90.2,8,34.2,6,6.4,0,34.6,4,50.9,2,85.0,3,2.3,3,26.0
32138,15,50.7,0,79.4,0,33.0,6,19.2,8,18.0,1,56.0,4,89.0,5,6.3,8,26.0
32213,15,56.0,1,84.0,1,33.6,6,20.7,8,17.4,1,41.4,1,75.0,0,0.9,1,26.0
32238,15,35.6,0,79.2,0,18.0,1,29.8,9,7.8,0,34.4,0,52.4,0,3.4,5,26.0
32246,15,66.8,3,89.5,7,39.7,8,16.1,7,13.1,0,43.7,1,83.4,2,3.9,5,26.0
32274,15,59.7,1,88.7,6,31.0,5,18.5,8,15.6,1,53.7,3,84.8,3,3.0,4,26.0
32276,15,71.5,5,88.1,5,36.6,7,18.1,8,17.5,1,52.3,3,88.9,5,2.0,2,26.0
32335,15,62.4,2,89.9,7,40.7,8,17.3,8,17.5,1,49.5,2,90.2,6,3.8,5,26.0
32374,15,65.0,2,86.2,3,32.2,6,15.7,7,20.9,1,59.8,5,92.0,8,2.1,2,26.0
31553,15,43.1,0,89.5,7,29.2,5,55.6,9,10.3,0,29.2,0,58.3,0,2.3,3,27.0
31560,15,65.5,2,86.9,4,32.0,6,8.5,3,28.4,3,52.7,3,84.8,3,3.1,4,27.0
31583,15,68.6,4,83.3,1,21.7,2,8.9,3,15.7,1,69.4,8,91.1,7,0.4,0,27.0
31663,15,67.0,3,89.0,6,25.5,3,9.9,4,27.9,3,63.8,6,89.4,6,1.8,2,27.0
31668,15,62.7,2,85.7,3,35.0,7,23.9,9,19.9,1,53.8,3,88.9,5,1.9,2,27.0
31736,15,61.3,1,80.2,0,19.8,1,11.6,5,24.3,2,63.5,6,83.3,2,0.8,0,27.0
31744,15,72.1,5,89.6,7,24.2,3,12.0,6,21.8,1,62.4,6,86.6,4,1.5,1,27.0
31930,15,57.2,1,81.5,0,25.5,3,12.2,6,16.1,1,62.6,6,88.1,5,1.2,1,27.0
31965,15,85.8,9,92.3,9,4.4,0,4.9,0,52.5,8,80.9,9,85.2,3,1.1,1,27.0
31991,15,59.3,1,88.0,5,44.0,8,17.0,8,21.4,1,40.3,1,84.3,2,3.8,5,27.0
31997,15,60.9,1,80.9,0,22.6,2,13.5,7,16.7,1,62.6,6,85.2,3,2.0,2,27.0
32086,15,64.7,2,85.6,3,35.6,7,10.2,4,18.3,1,57.9,4,93.5,9,1.5,1,27.0
32213,15,56.0,1,84.0,1,33.6,6,20.7,8,17.4,1,41.4,1,75.0,0,0.9,1,27.0
32238,15,35.6,0,79.2,0,18.0,1,29.8,9,7.8,0,34.4,0,52.4,0,3.4,5,27.0
32274,15,59.7,1,88.7,6,31.0,5,18.5,8,15.6,1,53.7,3,84.8,3,3.0,4,27.0
32276,15,71.5,5,88.1,5,36.6,7,18.1,8,17.5,1,52.3,3,88.9,5,2.0,2,27.0
32316,11,71.7,5,89.6,7,24.7,3,7.1,1,35.6,5,67.7,8,92.5,8,5.9,8,27.0
32335,15,62.4,2,89.9,7,40.7,8,17.3,8,17.5,1,49.5,2,90.2,6,3.8,5,27.0
32407,15,66.5,3,87.8,5,33.2,6,11.4,5,23.5,2,61.4,6,94.7,9,1.7000000000000002,2,27.0
32409,15,69.2,4,87.2,4,21.6,2,19.2,8,15.6,1,66.5,7,88.1,5,0.9,1,27.0
32415,15,68.1,3,87.7,5,28.2,4,13.4,6,23.4,2,61.9,6,90.1,6,2.3,3,27.0
32433,15,61.2,1,82.2,0,42.8,8,16.6,8,19.3,1,47.3,2,90.1,6,3.8,5,27.0
32442,15,65.0,2,87.4,5,30.4,5,9.7,4,21.5,1,58.7,5,89.1,5,3.7,5,27.0
32456,15,64.7,2,85.9,3,30.0,5,15.9,7,20.6,1,59.0,5,89.0,5,3.2,4,27.0
32467,11,69.6,4,87.3,4,23.5,2,16.7,8,20.6,1,71.6,8,95.1,9,1.7000000000000002,2,27.0
32478,15,69.9,4,87.2,4,33.5,6,10.2,4,32.2,4,60.2,5,93.7,9,1.9,2,27.0
32526,15,63.9,2,88.4,6,35.9,7,17.7,8,27.3,3,53.3,3,89.2,5,6.0,8,27.0
32533,15,67.1,3,89.6,7,34.4,6,12.8,6,34.6,4,51.8,3,86.2,3,1.5,1,27.0
32540,15,74.6,6,88.2,6,24.8,3,10.4,5,25.4,2,68.2,8,93.0,8,3.4,5,27.0
32556,15,68.2,3,86.7,4,23.4,2,10.9,5,22.0,1,68.2,8,91.6,7,1.1,1,27.0
32592,15,63.7,2,86.3,3,37.3,7,14.8,7,25.3,2,48.1,2,85.4,3,3.7,5,27.0
32603,11,63.9,2,83.2,1,33.6,6,9.9,4,28.0,3,41.4,1,75.1,0,1.9,2,27.0
32609,11,68.6,4,85.1,2,18.6,1,11.8,6,24.3,2,62.5,6,81.1,1,3.8,5,27.0
32620,15,66.5,3,86.6,4,35.6,7,14.0,7,26.3,2,52.1,3,87.7,4,2.5,3,27.0
32621,15,62.4,2,87.2,4,27.2,4,12.2,6,21.2,1,62.7,6,89.9,6,1.8,2,27.0
32652,15,72.2,5,88.8,6,30.5,5,7.7,2,28.8,3,57.9,4,88.4,5,5.3,7,27.0
32665,11,64.1,2,83.2,1,28.6,4,11.8,6,25.8,2,50.8,2,79.4,1,3.6,5,27.0
32669,11,70.8,4,87.9,5,23.2,2,10.4,5,25.0,2,69.2,8,92.4,8,2.6,3,27.0
32684,11,71.2,5,90.8,8,27.5,4,10.7,5,31.2,4,48.7,2,76.3,0,1.6,2,27.0
32747,11,69.1,4,85.6,3,30.7,5,8.7,3,34.1,4,50.0,2,80.7,1,3.4,5,27.0
32808,15,69.0,4,84.9,2,23.0,2,8.5,3,39.9,5,69.3,8,92.3,8,1.3,1,6.0
32818,6,73.6,6,88.2,6,25.0,3,5.7,0,43.7,6,61.1,6,86.1,3,2.1,2,6.0
32825,15,74.8,6,90.8,8,29.2,5,11.4,5,38.9,5,62.8,6,92.0,8,3.4,5,6.0
32828,15,72.7,5,89.9,7,35.8,7,9.6,4,42.2,6,53.0,3,88.7,5,4.8,7,6.0
32831,15,74.1,6,86.1,3,25.9,3,9.2,3,42.9,6,64.6,7,90.5,7,3.3,5,6.0
32834,15,80.1,8,89.2,7,34.3,6,7.8,2,40.6,6,55.9,4,90.2,6,3.4,5,6.0
32840,15,73.6,6,85.0,2,24.0,3,11.4,5,38.6,5,58.7,5,82.7,2,1.6,2,6.0
32842,6,73.7,6,88.8,6,18.7,1,8.3,2,41.4,6,71.6,8,90.3,6,2.7,3,6.0
