id,AREA,Commune,DEPTO,FRAC,Computer Percent,Computer Quantile,Cellular Percent,Cellular Quantile,Rent Percent,Rent Quantile,LINK,Immigration Percent,Immigration Quantile,Education Percent,Education Quantile,PERIMETER,Owner Percent,Owner Quantile,PROV,RADIO,RADPAIS_,REDCODE,Regular Percent,Regular Quantile,TIPO,Uninhabited Percent,Uninhabited Quantile,coordinates,type
34087,123913.2,10,10.0,8.0,64.0,2,85.3,2,22.0,2,,10.7,5,24.9,2,1615.115,71.0,8,2.0,2.0,34087.0,20100802.0,93.0,8,,4.3,6,"[[[-58.51542, -34.62761], [-58.51431, -34.62847], [-58.51421, -34.62839], [-58.51383, -34.62805], [-58.51347, -34.62773], [-58.51337, -34.62763], [-58.51325, -34.62771], [-58.51212, -34.62855], [-58.512010000000004, -34.62863], [-58.51111, -34.62931], [-58.51008, -34.63006], [-58.5111, -34.63095], [-58.51193, -34.63169], [-58.51205, -34.63179], [-58.5129, -34.63112], [-58.51302, -34.63104], [-58.51404, -34.63026], [-58.5149, -34.62959], [-58.51512, -34.62942], [-58.51525, -34.62933], [-58.51564, -34.62902], [-58.51592, -34.62881], [-58.51638, -34.62845], [-58.51554, -34.62772], [-58.51542, -34.62761]]]",Polygon
34088,23855.5,6,6.0,21.0,78.5,8,91.2,8,21.2,2,,10.0,4,49.8,7,619.395,68.8,8,2.0,5.0,34088.0,20062105.0,90.0,6,,5.1,7,"[[[-58.4292, -34.6223], [-58.42915, -34.62254], [-58.42892, -34.62366], [-58.42889, -34.62378], [-58.43041, -34.62398], [-58.43059, -34.62324], [-58.43076, -34.62255], [-58.4292, -34.6223]]]",Polygon
34089,46642.5,10,10.0,11.0,62.2,2,88.4,6,32.8,6,,14.5,7,24.8,2,1021.775,59.3,5,2.0,8.0,34089.0,20101108.0,92.2,8,,2.6,3,"[[[-58.48234, -34.62563], [-58.48188, -34.62662], [-58.48205, -34.62667], [-58.48331, -34.62698], [-58.48345, -34.62701], [-58.48469, -34.62731], [-58.48596, -34.62762], [-58.48617, -34.62714], [-58.48622, -34.62705], [-58.48642, -34.62662], [-58.48622, -34.62657], [-58.48516, -34.62631], [-58.48494, -34.62626], [-58.48377, -34.62598], [-58.48363, -34.62595], [-58.48234, -34.62563]]]",Polygon
34090,17246.88,7,7.0,7.0,52.6,0,81.2,0,41.4,8,,12.0,6,28.1,3,526.257,27.4,0,2.0,4.0,34090.0,20070704.0,68.8,0,,3.5,5,"[[[-58.46611, -34.62466], [-58.46566, -34.6257], [-58.46707, -34.62615], [-58.46752, -34.6251], [-58.46611, -34.62466]]]",Polygon
34091,91016.0,10,10.0,11.0,68.0,3,87.9,5,26.5,4,,11.3,5,27.1,3,1383.516,66.3,7,2.0,1.0,34091.0,20101101.0,92.8,8,,2.0,2,"[[[-58.48848, -34.62605], [-58.4877, -34.62667], [-58.48777, -34.62669], [-58.48766, -34.62691], [-58.4876, -34.62703], [-58.48741, -34.62745], [-58.48736, -34.62755], [-58.48719, -34.62792], [-58.48679, -34.62879], [-58.48673, -34.62891], [-58.48625, -34.62995], [-58.48618, -34.63012], [-58.48694, -34.63031], [-58.48771, -34.6297], [-58.48808, -34.6294], [-58.48823, -34.62928], [-58.48929, -34.62845], [-58.49022, -34.6277], [-58.49109, -34.62701], [-58.48975, -34.6265], [-58.48911, -34.62628], [-58.48848, -34.62605]]]",Polygon
34092,42205.38,7,7.0,5.0,71.8,5,85.0,2,19.3,1,,10.3,4,41.0,6,1275.196,67.2,7,2.0,3.0,34092.0,20070503.0,86.5,3,,5.8,7,"[[[-58.4568, -34.62411], [-58.45644, -34.62461], [-58.45648, -34.62463], [-58.45651, -34.62465], [-58.45661, -34.62469], [-58.4569, -34.62481], [-58.45708, -34.62488], [-58.45763, -34.62511], [-58.45775, -34.62516], [-58.45764, -34.6253], [-58.45635, -34.62475], [-58.45612, -34.62509], [-58.45743, -34.62562], [-58.45671, -34.62666], [-58.45783, -34.62713], [-58.45842, -34.626], [-58.45861, -34.62565], [-58.45867, -34.62553], [-58.459, -34.62489], [-58.45815, -34.62459], [-58.4568, -34.62411]]]",Polygon
29994,70258.31,12,12.0,4.0,71.1,4,85.9,3,10.1,0,,7.9,2,31.4,4,1427.157,81.6,9,2.0,1.0,29994.0,20120401.0,91.7,8,,2.8,4,"[[[-58.48334, -34.5419], [-58.48174, -34.54119], [-58.4816, -34.54146], [-58.48155, -34.54155], [-58.48154, -34.54159], [-58.48131, -34.54205], [-58.48092, -34.54288], [-58.48051, -34.54371], [-58.48031, -34.54412], [-58.4801, -34.54454], [-58.4797, -34.54537], [-58.4793, -34.54619], [-58.47995, -34.54641], [-58.48054, -34.54563], [-58.48112, -34.54487], [-58.48171, -34.54411], [-58.4823, -34.54334], [-58.48284, -34.54261], [-58.4831, -34.54226], [-58.48311, -34.54223], [-58.48318, -34.54213], [-58.48334, -34.5419]]]",Polygon
37015,92534.31,8,8.0,12.0,65.4,2,81.8,0,24.0,3,,11.1,5,24.1,2,1217.24,63.3,6,2.0,5.0,37015.0,20081205.0,87.4,4,,3.3,5,"[[[-58.4698, -34.6905], [-58.4686, -34.6914], [-58.46742, -34.6923], [-58.46818, -34.69299], [-58.4683, -34.69309], [-58.46895, -34.69367], [-58.4696, -34.69426], [-58.46971, -34.69436], [-58.47089, -34.69347], [-58.47101, -34.69337], [-58.47208, -34.69256], [-58.47132, -34.69188], [-58.47065, -34.69128], [-58.47055, -34.69119], [-58.4698, -34.6905]]]",Polygon
34093,29621.38,6,6.0,16.0,73.9,6,82.6,0,24.8,3,,8.7,3,50.5,7,868.242,59.0,5,2.0,4.0,34093.0,20061604.0,83.9,2,,3.1,4,"[[[-58.43892, -34.62309], [-58.4385, -34.62313], [-58.43845, -34.62366], [-58.43834, -34.62477], [-58.43821, -34.62615], [-58.43911, -34.62626], [-58.43914, -34.62606], [-58.43926, -34.62486], [-58.43937, -34.62373], [-58.43943, -34.62304], [-58.43892, -34.62309]]]",Polygon
34095,20802.25,6,6.0,21.0,70.2,4,84.0,1,21.8,2,,9.9,4,37.9,5,581.021,65.3,7,2.0,4.0,34095.0,20062104.0,87.0,4,,8.5,9,"[[[-58.43076, -34.62255], [-58.43059, -34.62324], [-58.43041, -34.62398], [-58.43162, -34.62414], [-58.43179, -34.62416], [-58.43196, -34.62347], [-58.43215, -34.62277], [-58.43076, -34.62255]]]",Polygon
